,step,train_error,validation_error
0,0,0.9296875,0.9140625
1,50,0.6015625,0.640625
2,100,0.5,0.6015625
3,150,0.484375,0.6015625
4,200,0.46875,0.484375
5,250,0.4140625,0.484375
6,300,0.2890625,0.484375
7,350,0.4140625,0.3359375
8,400,0.34375,0.3984375
9,450,0.3046875,0.4765625
10,500,0.296875,0.4140625
11,550,0.2734375,0.375
12,600,0.328125,0.328125
13,650,0.375,0.28125
14,700,0.3125,0.2578125
15,750,0.2890625,0.28125
16,800,0.296875,0.3125
17,850,0.234375,0.3046875
18,900,0.2265625,0.25
19,950,0.3203125,0.265625
20,1000,0.203125,0.265625
21,1050,0.2109375,0.2265625
22,1100,0.2109375,0.2421875
23,1150,0.2109375,0.1875
24,1200,0.2578125,0.1953125
25,1250,0.171875,0.2265625
26,1300,0.25,0.21875
27,1350,0.2578125,0.3046875
28,1400,0.2421875,0.265625
29,1450,0.1953125,0.28125
30,1500,0.1796875,0.1875
31,1550,0.1796875,0.3125
32,1600,0.15625,0.34375
33,1650,0.1953125,0.203125
34,1700,0.2265625,0.234375
35,1750,0.21875,0.1796875
36,1800,0.2265625,0.2109375
37,1850,0.203125,0.15625
38,1900,0.265625,0.1796875
39,1950,0.1328125,0.1875
40,2000,0.1953125,0.171875
41,2050,0.1328125,0.1796875
42,2100,0.203125,0.1640625
43,2150,0.21875,0.2109375
44,2200,0.109375,0.2421875
45,2250,0.109375,0.1875
46,2300,0.21875,0.1875
47,2350,0.1640625,0.2578125
48,2400,0.171875,0.234375
49,2450,0.1015625,0.171875
50,2500,0.09375,0.2265625
51,2550,0.125,0.1953125
52,2600,0.1796875,0.1953125
53,2650,0.1953125,0.2578125
54,2700,0.1328125,0.21875
55,2750,0.078125,0.15625
56,2800,0.1640625,0.2109375
57,2850,0.1640625,0.21875
58,2900,0.1328125,0.171875
59,2950,0.140625,0.1640625
60,3000,0.171875,0.1796875
61,3050,0.125,0.203125
62,3100,0.0859375,0.171875
63,3150,0.109375,0.171875
64,3200,0.125,0.09375
65,3250,0.046875,0.140625
66,3300,0.109375,0.15625
67,3350,0.1015625,0.1875
68,3400,0.078125,0.1328125
69,3450,0.1484375,0.1640625
70,3500,0.0859375,0.140625
71,3550,0.078125,0.171875
72,3600,0.1328125,0.1953125
73,3650,0.1015625,0.140625
74,3700,0.1328125,0.1796875
75,3750,0.109375,0.15625
76,3800,0.09375,0.140625
77,3850,0.1015625,0.1796875
78,3900,0.1328125,0.140625
79,3950,0.1171875,0.1953125
80,4000,0.1484375,0.1484375
81,4050,0.109375,0.1484375
82,4100,0.1015625,0.109375
83,4150,0.1015625,0.1484375
84,4200,0.0859375,0.1875
85,4250,0.1015625,0.125
86,4300,0.1015625,0.1953125
87,4350,0.078125,0.1640625
88,4400,0.125,0.1796875
89,4450,0.125,0.1640625
90,4500,0.1015625,0.15625
91,4550,0.0859375,0.1640625
92,4600,0.109375,0.1484375
93,4650,0.15625,0.140625
94,4700,0.078125,0.1328125
95,4750,0.1328125,0.140625
96,4800,0.09375,0.171875
97,4850,0.0703125,0.1484375
98,4900,0.078125,0.140625
99,4950,0.109375,0.1484375
100,5000,0.078125,0.125
101,5050,0.109375,0.2265625
102,5100,0.1171875,0.15625
103,5150,0.125,0.125
104,5200,0.078125,0.1328125
105,5250,0.0703125,0.1328125
106,5300,0.109375,0.1015625
107,5350,0.0859375,0.1875
108,5400,0.078125,0.171875
109,5450,0.0859375,0.140625
110,5500,0.1171875,0.1953125
111,5550,0.1015625,0.125
112,5600,0.1171875,0.15625
113,5650,0.0859375,0.078125
114,5700,0.109375,0.15625
115,5750,0.0625,0.1484375
116,5800,0.1171875,0.1640625
117,5850,0.109375,0.0859375
118,5900,0.078125,0.171875
119,5950,0.125,0.140625
120,6000,0.109375,0.109375
121,6050,0.03125,0.1015625
122,6100,0.0859375,0.1640625
123,6150,0.046875,0.1484375
124,6200,0.1015625,0.1171875
125,6250,0.0703125,0.1171875
126,6300,0.015625,0.1328125
127,6350,0.0703125,0.125
128,6400,0.109375,0.09375
129,6450,0.0703125,0.1953125
130,6500,0.09375,0.1171875
131,6550,0.1015625,0.1796875
132,6600,0.0390625,0.125
133,6650,0.0625,0.125
134,6700,0.0390625,0.0859375
135,6750,0.046875,0.1328125
136,6800,0.03125,0.1640625
137,6850,0.078125,0.1640625
138,6900,0.0703125,0.140625
139,6950,0.0390625,0.1328125
140,7000,0.0703125,0.125
141,7050,0.078125,0.1015625
142,7100,0.046875,0.140625
143,7150,0.0390625,0.1796875
144,7200,0.078125,0.1484375
145,7250,0.078125,0.1796875
146,7300,0.078125,0.0703125
147,7350,0.0390625,0.1328125
148,7400,0.1171875,0.1953125
149,7450,0.0625,0.1953125
150,7500,0.09375,0.0703125
151,7550,0.078125,0.140625
152,7600,0.0703125,0.125
153,7650,0.046875,0.109375
154,7700,0.03125,0.171875
155,7750,0.0390625,0.1484375
156,7800,0.0546875,0.171875
157,7850,0.0703125,0.140625
158,7900,0.1015625,0.1484375
159,7950,0.0703125,0.09375
160,8000,0.0078125,0.1015625
161,8050,0.0703125,0.0859375
162,8100,0.078125,0.15625
163,8150,0.0625,0.1015625
164,8200,0.0625,0.1484375
165,8250,0.0859375,0.0859375
166,8300,0.03125,0.125
167,8350,0.09375,0.109375
168,8400,0.078125,0.1484375
169,8450,0.046875,0.140625
170,8500,0.0625,0.171875
171,8550,0.0546875,0.1015625
172,8600,0.109375,0.109375
173,8650,0.046875,0.1015625
174,8700,0.0625,0.140625
175,8750,0.015625,0.109375
