,step,train_error,validation_error
0,0,0.859375,0.8828125
1,50,0.34375,0.4453125
2,100,0.2578125,0.328125
3,150,0.1796875,0.265625
4,200,0.2265625,0.21875
5,250,0.1953125,0.25
6,300,0.2265625,0.1640625
7,350,0.1796875,0.2109375
8,400,0.15625,0.203125
9,450,0.15625,0.203125
10,500,0.171875,0.15625
11,550,0.1328125,0.2109375
12,600,0.0625,0.1953125
13,650,0.0859375,0.1875
14,700,0.1875,0.15625
15,750,0.109375,0.1875
16,800,0.109375,0.203125
17,850,0.15625,0.1796875
18,900,0.109375,0.1640625
19,950,0.1171875,0.1796875
20,1000,0.140625,0.15625
21,1050,0.1328125,0.171875
22,1100,0.140625,0.1953125
23,1150,0.1171875,0.1484375
24,1200,0.09375,0.203125
25,1250,0.1015625,0.1640625
26,1300,0.1015625,0.171875
27,1350,0.125,0.1328125
28,1400,0.1015625,0.2109375
29,1450,0.1640625,0.1328125
30,1500,0.125,0.1640625
31,1550,0.1640625,0.140625
32,1600,0.1171875,0.1484375
33,1650,0.078125,0.2109375
34,1700,0.1328125,0.171875
35,1750,0.1328125,0.1640625
36,1800,0.0546875,0.1640625
37,1850,0.1171875,0.125
38,1900,0.0546875,0.1171875
39,1950,0.1640625,0.1171875
40,2000,0.0546875,0.109375
41,2050,0.09375,0.0859375
42,2100,0.0703125,0.1640625
43,2150,0.0625,0.15625
44,2200,0.0390625,0.109375
45,2250,0.046875,0.15625
46,2300,0.078125,0.1015625
47,2350,0.0703125,0.125
48,2400,0.0703125,0.09375
49,2450,0.09375,0.09375
50,2500,0.046875,0.1015625
51,2550,0.078125,0.1171875
52,2600,0.046875,0.109375
53,2650,0.046875,0.15625
54,2700,0.015625,0.109375
55,2750,0.0625,0.171875
56,2800,0.0390625,0.078125
57,2850,0.0703125,0.140625
58,2900,0.0390625,0.140625
59,2950,0.046875,0.171875
60,3000,0.046875,0.09375
61,3050,0.0859375,0.1328125
62,3100,0.0859375,0.1171875
63,3150,0.0625,0.09375
64,3200,0.0390625,0.1484375
65,3250,0.0859375,0.1171875
66,3300,0.0625,0.1171875
67,3350,0.0234375,0.1171875
68,3400,0.046875,0.109375
69,3450,0.046875,0.140625
70,3500,0.0390625,0.109375
71,3550,0.1015625,0.125
72,3600,0.0234375,0.1640625
73,3650,0.0703125,0.171875
74,3700,0.0859375,0.140625
75,3750,0.0546875,0.109375
76,3800,0.1171875,0.140625
77,3850,0.0234375,0.1328125
78,3900,0.078125,0.1640625
79,3950,0.03125,0.0859375
80,4000,0.0703125,0.125
81,4050,0.1015625,0.1015625
82,4100,0.0234375,0.1171875
83,4150,0.0546875,0.109375
84,4200,0.046875,0.09375
85,4250,0.015625,0.125
86,4300,0.015625,0.109375
87,4350,0.0078125,0.0703125
88,4400,0.0546875,0.1015625
89,4450,0.0390625,0.109375
90,4500,0.0078125,0.1484375
91,4550,0.0546875,0.09375
92,4600,0.03125,0.1171875
93,4650,0.015625,0.125
94,4700,0.015625,0.140625
95,4750,0.046875,0.0625
96,4800,0.0234375,0.140625
97,4850,0.0546875,0.1328125
98,4900,0.0390625,0.1171875
99,4950,0.03125,0.0859375
100,5000,0.0,0.0859375
101,5050,0.0234375,0.140625
102,5100,0.0390625,0.1328125
103,5150,0.046875,0.09375
104,5200,0.015625,0.109375
105,5250,0.0234375,0.0859375
106,5300,0.03125,0.125
107,5350,0.015625,0.1015625
108,5400,0.0546875,0.125
109,5450,0.0390625,0.140625
110,5500,0.0390625,0.09375
111,5550,0.0234375,0.140625
112,5600,0.03125,0.09375
113,5650,0.015625,0.0859375
114,5700,0.0546875,0.046875
115,5750,0.015625,0.109375
116,5800,0.015625,0.0859375
117,5850,0.0234375,0.1015625
118,5900,0.0234375,0.15625
119,5950,0.046875,0.09375
120,6000,0.046875,0.0859375
121,6050,0.0546875,0.078125
122,6100,0.015625,0.109375
123,6150,0.0078125,0.1328125
124,6200,0.0078125,0.078125
125,6250,0.046875,0.109375
126,6300,0.0078125,0.1015625
127,6350,0.0390625,0.15625
128,6400,0.03125,0.0546875
129,6450,0.0078125,0.140625
130,6500,0.015625,0.1015625
131,6550,0.0078125,0.125
132,6600,0.0078125,0.1484375
133,6650,0.0234375,0.1171875
134,6700,0.015625,0.109375
135,6750,0.015625,0.0546875
136,6800,0.0078125,0.0703125
137,6850,0.0234375,0.0859375
138,6900,0.046875,0.140625
139,6950,0.015625,0.109375
140,7000,0.0078125,0.125
141,7050,0.0,0.09375
142,7100,0.015625,0.0859375
143,7150,0.0234375,0.1015625
144,7200,0.03125,0.0859375
145,7250,0.0390625,0.109375
146,7300,0.015625,0.09375
147,7350,0.0234375,0.078125
148,7400,0.0234375,0.078125
149,7450,0.046875,0.125
150,7500,0.0234375,0.0859375
151,7550,0.046875,0.125
152,7600,0.0234375,0.109375
153,7650,0.0,0.1484375
154,7700,0.0234375,0.1484375
155,7750,0.0234375,0.09375
156,7800,0.0078125,0.1171875
157,7850,0.03125,0.109375
158,7900,0.03125,0.109375
159,7950,0.015625,0.0703125
160,8000,0.03125,0.0625
161,8050,0.0234375,0.078125
162,8100,0.0078125,0.078125
163,8150,0.03125,0.1171875
164,8200,0.0078125,0.09375
165,8250,0.015625,0.109375
166,8300,0.015625,0.09375
167,8350,0.015625,0.125
168,8400,0.0234375,0.078125
169,8450,0.0,0.1328125
170,8500,0.0078125,0.109375
171,8550,0.015625,0.109375
172,8600,0.0078125,0.1015625
173,8650,0.0,0.125
174,8700,0.0,0.078125
175,8750,0.0078125,0.1171875
176,8800,0.03125,0.109375
177,8850,0.0078125,0.0859375
178,8900,0.015625,0.125
179,8950,0.0078125,0.09375
180,9000,0.0234375,0.0859375
181,9050,0.0,0.078125
182,9100,0.0,0.125
183,9150,0.0,0.109375
184,9200,0.0078125,0.078125
185,9250,0.0078125,0.140625
186,9300,0.0,0.0546875
187,9350,0.015625,0.0703125
188,9400,0.0,0.1484375
189,9450,0.0,0.09375
190,9500,0.0,0.125
191,9550,0.0234375,0.109375
192,9600,0.0078125,0.0703125
193,9650,0.0078125,0.1171875
