,step,train_error,validation_error
0,0,0.890625,0.859375
1,50,0.25,0.2578125
2,100,0.2109375,0.1796875
3,150,0.2421875,0.1953125
4,200,0.203125,0.265625
5,250,0.1484375,0.265625
6,300,0.203125,0.1796875
7,350,0.125,0.1640625
8,400,0.1484375,0.171875
9,450,0.109375,0.15625
10,500,0.1875,0.203125
11,550,0.171875,0.1796875
12,600,0.125,0.1875
13,650,0.125,0.203125
14,700,0.1484375,0.1171875
15,750,0.1796875,0.1796875
16,800,0.1875,0.1875
17,850,0.1015625,0.2421875
18,900,0.2109375,0.234375
19,950,0.2109375,0.140625
20,1000,0.09375,0.1796875
21,1050,0.1015625,0.15625
22,1100,0.109375,0.171875
23,1150,0.1171875,0.15625
24,1200,0.1328125,0.1328125
25,1250,0.109375,0.140625
26,1300,0.0859375,0.203125
27,1350,0.09375,0.1640625
28,1400,0.0859375,0.15625
29,1450,0.140625,0.09375
30,1500,0.0859375,0.21875
31,1550,0.125,0.171875
32,1600,0.1171875,0.125
33,1650,0.0625,0.1875
34,1700,0.15625,0.140625
35,1750,0.1640625,0.109375
36,1800,0.125,0.1640625
37,1850,0.171875,0.2109375
38,1900,0.1875,0.1796875
39,1950,0.1171875,0.1640625
40,2000,0.1484375,0.1796875
41,2050,0.0859375,0.109375
42,2100,0.0859375,0.1015625
43,2150,0.1328125,0.140625
44,2200,0.125,0.1484375
45,2250,0.1328125,0.1484375
46,2300,0.0703125,0.125
47,2350,0.0546875,0.0703125
48,2400,0.0625,0.140625
49,2450,0.109375,0.1484375
50,2500,0.109375,0.09375
51,2550,0.09375,0.1328125
52,2600,0.1484375,0.109375
53,2650,0.078125,0.1640625
54,2700,0.0859375,0.109375
55,2750,0.09375,0.15625
56,2800,0.0859375,0.1171875
57,2850,0.0546875,0.1328125
58,2900,0.0703125,0.078125
59,2950,0.1015625,0.109375
60,3000,0.1015625,0.0859375
61,3050,0.078125,0.1484375
62,3100,0.09375,0.171875
63,3150,0.046875,0.1875
64,3200,0.1015625,0.1484375
65,3250,0.0625,0.140625
66,3300,0.1171875,0.1328125
67,3350,0.1171875,0.1484375
68,3400,0.0859375,0.1484375
69,3450,0.140625,0.1171875
70,3500,0.0625,0.1640625
71,3550,0.0546875,0.078125
72,3600,0.0234375,0.1484375
