1 edge (5,6) =26948
2 edge (95,98) =53875
3 edge (82,87) =60441
4 edge (75,76) =63263
5 edge (4,6) =65482
6 edge (62,64) =68107
7 edge (117,119) =76956
8 edge (112,117) =79798
9 edge (8,9) =82308
10 edge (49,53) =83170
11 edge (57,62) =86355
12 edge (91,93) =97456
13 edge (23,27) =98639
14 edge (51,55) =102084
15 edge (102,104) =103455
16 edge (33,36) =104700
17 edge (112,116) =104844
18 edge (6,9) =104996
19 edge (123,126) =106512
20 edge (46,49) =107338
21 edge (74,75) =107945
22 edge (54,58) =108114
23 edge (102,105) =112720
24 edge (35,42) =112812
25 edge (30,34) =113001
26 edge (56,59) =113868
27 edge (82,83) =114564
28 edge (37,46) =115329
29 edge (61,67) =115550
30 edge (15,20) =122114
31 edge (42,47) =122908
32 edge (60,66) =123228
33 edge (27,31) =123696
34 edge (96,99) =123931
35 edge (42,46) =124242
36 edge (57,60) =125099
37 edge (104,106) =126130
38 edge (14,17) =126381
39 edge (77,81) =126567
40 edge (34,43) =127001
41 edge (13,18) =127591
42 edge (80,89) =130337
43 edge (1,2) =130497
44 edge (59,64) =131245
45 edge (20,28) =132026
46 edge (36,48) =133462
47 edge (128,129) =134469
48 edge (43,51) =134903
49 edge (46,52) =136769
50 edge (50,59) =138205
51 edge (74,77) =139116
52 edge (71,72) =140561
53 edge (99,105) =140644
54 edge (40,50) =140894
55 edge (61,65) =141901
56 edge (48,50) =142457
57 edge (39,43) =143569
58 edge (66,69) =143796
59 edge (81,83) =144180
60 edge (52,60) =144343
61 edge (68,71) =144870
62 edge (78,88) =145879
63 edge (17,24) =146178
64 edge (69,78) =147548
65 edge (104,115) =147951
66 edge (28,30) =151151
67 edge (108,113) =154912
68 edge (25,32) =155133
69 edge (108,114) =155996
70 edge (70,71) =156072
71 edge (87,96) =156800
72 edge (105,113) =161101
73 edge (93,100) =161830
74 edge (111,114) =162122
75 edge (55,61) =166591
76 edge (22,24) =167001
77 edge (2,7) =167823
78 edge (107,117) =169193
79 edge (11,16) =170818
80 edge (94,96) =172871
81 edge (63,67) =173465
82 edge (129,133) =174162
83 edge (53,63) =174598
84 edge (15,21) =175302
85 edge (137,138) =176163
86 edge (122,128) =176487
87 edge (119,123) =178343
88 edge (26,27) =179049
89 edge (67,74) =181390
90 edge (80,93) =181574
91 edge (88,89) =182030
92 edge (106,116) =182641
93 edge (69,73) =183176
94 edge (3,7) =183357
95 edge (19,25) =185085
96 edge (133,135) =189925
97 edge (9,15) =189965
98 edge (81,85) =190122
99 edge (85,97) =190306
100 edge (10,14) =190592
101 edge (79,86) =193874
102 edge (7,13) =199643
103 edge (109,110) =203607
104 edge (70,77) =204214
105 edge (38,44) =206172
106 edge (120,123) =206517
107 edge (31,44) =206827
108 edge (130,134) =209370
109 edge (38,54) =218314
110 edge (41,45) =218833
111 edge (16,25) =221273
112 edge (17,21) =226208
113 edge (29,39) =232484
114 edge (72,79) =238303
115 edge (126,131) =239948
116 edge (84,92) =241010
117 edge (32,38) =251812
118 edge (18,29) =259836
119 edge (131,134) =263598
120 edge (12,19) =275918
121 edge (128,131) =279897
122 edge (86,101) =282185
123 edge (58,68) =282912
124 edge (79,95) =295567
125 edge (114,124) =311766
126 edge (109,121) =311943
127 edge (92,101) =321042
128 edge (92,110) =325781
129 edge (124,127) =333852
130 edge (134,137) =371988
131 edge (132,136) =407764
132 edge (103,118) =408304
133 edge (134,139) =416883
134 edge (90,103) =431768
135 edge (125,136) =449898
136 edge (121,125) =489442
137 edge (118,132) =657412
138 edge (45,84) =832532
